2.2247 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
140.4033 	EXP 	fixation: autoDraw = False
140.4033 	EXP 	grating: autoDraw = False
140.4036 	EXP 	window1: recordFrameIntervals = False
141.4025 	EXP 	fixation: autoDraw = True
142.4021 	EXP 	fixation: autoDraw = False
142.4021 	EXP 	grating: autoDraw = True
142.4021 	EXP 	grating: tex = 'sin'
142.7021 	EXP 	grating: autoDraw = False
142.8043 	EXP 	window1: recordFrameIntervals = False
142.8062 	DATA 	Keypress: left
142.8187 	EXP 	fixation: autoDraw = False
142.8187 	EXP 	grating: autoDraw = False
142.8190 	EXP 	window1: recordFrameIntervals = False
143.8180 	EXP 	fixation: autoDraw = True
144.8177 	EXP 	fixation: autoDraw = False
144.8177 	EXP 	grating: autoDraw = True
144.8177 	EXP 	grating: tex = 'sin'
145.1173 	EXP 	grating: autoDraw = False
145.2028 	EXP 	window1: recordFrameIntervals = False
145.2043 	DATA 	Keypress: left
145.2172 	EXP 	fixation: autoDraw = False
145.2172 	EXP 	grating: autoDraw = False
145.2175 	EXP 	window1: recordFrameIntervals = False
146.2166 	EXP 	fixation: autoDraw = True
147.2161 	EXP 	fixation: autoDraw = False
147.2161 	EXP 	grating: autoDraw = True
147.2161 	EXP 	grating: tex = 'sin'
147.5164 	EXP 	grating: autoDraw = False
147.6019 	EXP 	window1: recordFrameIntervals = False
147.6034 	DATA 	Keypress: left
147.6159 	EXP 	fixation: autoDraw = False
147.6159 	EXP 	grating: autoDraw = False
147.6162 	EXP 	window1: recordFrameIntervals = False
148.6152 	EXP 	fixation: autoDraw = True
149.6147 	EXP 	fixation: autoDraw = False
149.6147 	EXP 	grating: autoDraw = True
149.6147 	EXP 	grating: tex = 'sin'
149.9146 	EXP 	grating: autoDraw = False
150.2335 	EXP 	window1: recordFrameIntervals = False
150.2349 	DATA 	Keypress: left
150.2478 	EXP 	fixation: autoDraw = False
150.2478 	EXP 	grating: autoDraw = False
150.2480 	EXP 	window1: recordFrameIntervals = False
151.2471 	EXP 	fixation: autoDraw = True
152.2467 	EXP 	fixation: autoDraw = False
152.2467 	EXP 	grating: autoDraw = True
152.2467 	EXP 	grating: tex = 'sin'
152.5466 	EXP 	grating: autoDraw = False
152.6501 	DATA 	Keypress: right
152.6658 	EXP 	window1: recordFrameIntervals = False
152.6797 	EXP 	fixation: autoDraw = False
152.6797 	EXP 	grating: autoDraw = False
152.6800 	EXP 	window1: recordFrameIntervals = False
153.6792 	EXP 	fixation: autoDraw = True
154.6786 	EXP 	fixation: autoDraw = False
154.6786 	EXP 	grating: autoDraw = True
154.6786 	EXP 	grating: tex = 'sin'
154.9784 	EXP 	grating: autoDraw = False
155.0153 	DATA 	Keypress: right
155.0310 	EXP 	window1: recordFrameIntervals = False
155.0451 	EXP 	fixation: autoDraw = False
155.0451 	EXP 	grating: autoDraw = False
